,Magnet_X,Magnet_Y,Magnet_Z,Pose_X,Pose_Y,Pose_Z,Tx_1,Ty_1,Tz_1,Tx_2,Ty_2,Tz_2,Tx_3,Ty_3,Tz_3,Tx_4,Ty_4,Tz_4,Tx_5,Ty_5,Tz_5,Tx_6,Ty_6,Tz_6,Tx_7,Ty_7,Tz_7,Tx_8,Ty_8,Tz_8,Tx_9,Ty_9,Tz_9,Tx_10,Ty_10,Tz_10,Tx_11,Ty_11,Tz_11,Tx_12,Ty_12,Tz_12,Tx_13,Ty_13,Tz_13,Tx_14,Ty_14,Tz_14,Tx_15,Ty_15,Tz_15,Tx_16,Ty_16,Tz_16
0,0.09,0.09,0.048,0,0,-1,30.38058977,7.223027753,1549.056616,316.1857807,12.56521014,13.00871101,69.12198484,53.04371658,-18.36664128,61.46422852,25.2066784,-79.9634706,29.37003019,283.8809309,54.30483895,125.242614,105.049741,-85.10884278,62.25347545,17.57987708,12.50979945,50.82615206,13.81652286,-2.803813503,37.4847749,43.29886623,2.420747338,47.08368932,65.68031543,-37.73539196,42.08781645,22.70377478,-13.34702129,30.58033228,27.50241538,2.218267725,45.54579059,26.55431311,46.32526799,42.89894454,18.04694355,1.39062582,36.02922778,42.3105119,-20.60684711,39.93277866,36.60082033,-18.03812434
1,0.075,0.09,0.048,0,0,-1,-561.5184302,24.0654058,1177.177505,490.2596566,13.58160347,143.9954654,89.33641805,52.82237484,-22.28791564,64.40666365,25.2758871,-82.46791896,-31.58444674,263.3295858,47.00687059,141.9288254,150.1555657,-76.69193242,71.7917704,24.13218619,8.371082417,52.96673984,14.54353623,-4.917933221,33.15671634,42.61934936,3.177508175,45.98512745,70.7486253,-39.15595696,43.84189885,25.37679441,-14.79308277,30.91023406,28.5651574,0.743630315,45.21505156,26.62564664,46.12395749,42.40451866,18.1384286,0.651899798,36.13084938,42.42389831,-20.719677,39.87709757,36.84825485,-18.62688439
2,0.06,0.09,0.048,0,0,-1,-638.6178827,30.22493465,563.4418624,693.670239,23.88541137,490.3406626,125.3674315,54.32066116,-23.3483265,69.67460182,25.93636835,-85.56127287,-65.22510985,207.0064467,22.85610969,140.9328923,208.579621,-63.40321906,83.36513036,35.37182773,4.363871645,55.41154893,15.92445498,-7.49159165,29.8043019,38.18988693,3.092128192,43.52067536,74.75160478,-41.37298898,44.46308826,28.35453776,-17.49909182,32.15156093,29.4159868,-0.150466047,44.6836213,25.43343297,46.16474614,41.85519452,18.64266521,-0.225505491,36.14475286,43.57878022,-21.64059899,40.1219355,37.30933695,-18.81807756
3,0.045,0.09,0.048,0,0,-1,-453.5431333,19.1267124,191.2927826,667.9168488,37.80597932,1111.366851,187.0873685,54.96439206,-14.01636647,77.43455606,25.73705391,-89.06220523,-69.48803918,146.2877622,5.960973226,110.5033442,265.6964999,-43.77640112,99.99258852,53.97091954,1.813512077,60.54383714,18.65329653,-10.42824776,27.36232039,33.48894234,3.916036753,39.72194831,78.65428574,-42.38509265,45.6759433,32.66380813,-19.06141574,33.49078742,31.14080053,-1.699563025,43.91964891,25.08369453,46.5361923,41.4301694,18.93225915,-0.321602431,36.14309894,44.09969671,-22.50799727,40.39984679,37.87272345,-19.52333112
4,0.03,0.09,0.048,0,0,-1,-277.6790746,9.340426112,37.89166256,92.63332686,48.23329374,1541.738736,295.8207877,55.64632263,31.21124757,90.06545292,26.17562809,-92.54657249,-56.55705422,97.63589231,-2.57997242,49.43869839,293.6603771,-31.4219194,120.1791532,85.38077039,3.692216652,67.02880069,23.15918691,-13.7043966,25.43532074,27.71734441,5.632385567,35.03838681,80.29806269,-42.05234008,46.05697531,38.24706208,-20.7885068,35.05111081,32.74151827,-3.108855408,43.15011563,23.99453542,47.48894434,40.78699863,19.25010222,-0.795758849,35.61741723,45.15527526,-22.94633228,40.47463916,38.34572778,-20.42274573
5,0.015,0.09,0.048,0,0,-1,-165.6922185,4.414520352,-12.10452293,-530.200901,52.56437418,1186.897071,469.8100815,58.4085219,170.0773954,111.0129484,26.25024698,-96.2464778,-39.32975121,64.7156293,-5.005850221,-14.63112273,273.78086,-38.45178424,136.7938623,131.2903842,12.58063716,76.64210901,29.77409818,-17.75663596,25.23016459,23.0386293,8.190022403,30.03496129,79.40575799,-41.71145914,45.40490548,43.63677144,-22.44382373,36.39205026,35.23774319,-5.33661149,42.94220678,23.40383457,48.11266045,39.68824016,19.35143683,-0.478984009,35.54722422,46.19184149,-23.23524389,40.66485541,38.99148293,-20.96643804
6,-0.015,0.09,0.048,0,0,-1,-61.65045822,0.909264655,-26.01767634,-421.5804753,25.24506791,174.81721,624.1497893,80.34054673,1157.228505,208.9694877,27.67685434,-83.60562838,-9.960533519,31.93480105,-0.37832022,-56.59190016,154.2530233,-75.05911094,103.3657919,248.2060687,54.94785157,107.7202506,61.88003601,-21.66816029,26.68140115,13.5578927,11.7744942,22.75101445,71.31066235,-39.38881878,39.19224461,53.33868903,-23.92471996,38.62987066,43.8259189,-8.065409154,43.01864498,21.20722529,49.49160406,37.91416936,18.43733372,0.514284787,34.42433393,47.54809788,-23.64785532,40.76966954,41.38079269,-22.42096975
7,-0.03,0.09,0.048,0,0,-1,-40.39953491,1.470849178,-22.35208227,-240.6005541,23.33694096,24.8036909,48.7357285,109.5039754,1548.516208,314.5214844,35.03180127,-37.79340628,0.04168558,24.98777346,2.671891211,-40.13666878,105.5693359,-86.68770879,41.72958299,268.9869195,58.90603325,125.0347186,93.03097366,-21.7330032,28.63359731,10.94574828,13.34451018,22.6412575,64.68225641,-38.43134922,34.11336751,52.81198861,-24.37692127,38.17313066,48.38857277,-10.15645181,43.20365615,20.32561197,50.0700975,37.58979742,16.87928796,1.031051642,33.40107729,46.82910186,-24.10137767,39.92843844,42.02148039,-23.1154419
8,-0.045,0.09,0.048,0,0,-1,-27.7365601,1.384297018,-18.52493361,-126.8628771,19.93552476,-23.31566225,-543.3094527,112.2887487,1158.647463,482.8428043,45.80260658,101.2301233,6.33300185,20.5947438,6.343598595,-21.83749057,74.19717207,-87.62053719,-17.98097218,245.6321719,49.47243998,139.7312525,137.3430784,-14.54890348,29.80153538,8.974108473,15.05902381,23.17550436,59.83860895,-36.42375975,29.44038313,51.32459736,-24.52570266,37.30802103,53.38663614,-12.26714166,43.41886882,19.56898935,50.91085218,37.631927,16.17494006,1.610143684,32.788153,47.02735158,-24.03176876,39.84032991,42.71430223,-23.55774391
9,-0.06,0.09,0.048,0,0,-1,-18.83205367,0.779679398,-14.40976651,-59.64883412,17.15283134,-36.66464992,-610.7613642,89.26448618,535.0547405,670.2829725,63.00274493,461.088586,11.49811808,17.61369921,9.844258916,-5.349084982,53.55662989,-85.74016724,-52.18312147,190.3203664,30.89159422,138.7707605,195.9770299,2.2799162,31.13534752,7.129688476,16.79381351,23.73056891,55.63156515,-34.51758457,25.77145859,47.70627291,-23.35325968,34.70267669,58.22307816,-13.3996407,43.65532525,18.50381004,51.86514628,37.63751256,15.31067102,2.248701933,31.8570233,46.30708313,-23.69702234,39.21414381,43.3470076,-23.85195026
